 	X	Y	Z
1	228.974	41.335	26.207
2	140.826	105.6	31.792
3	113.353	117.314	36.331
4	900.109	62.105	46.056
5	246.925	511.661	52.467
6	255.536	529.051	54.568
7	1083.943	95.545	54.624
8	471.369	243.559	59.5
9	404.523	258.917	58.303
10	277.372	650.544	61.899
11	1026.256	372.191	60.766
12	1082.767	206.666	63.727
13	30.432	404.062	64.368
14	493.298	556.331	67.823
15	538.83	594.991	70.582
16	859.346	547.282	73.596
17	1049.846	673.848	72.791
18	1036.122	707.498	72.89
19	1031.322	786.464	75.769
20	1090.246	806.797	78.395
21	1120.823	781.09	77.878
22	1135.582	735.39	81.035
23	197.148	885.5	78.604
24	973.823	917.213	81.754
25	1191.326	383.449	82.025
26	932.798	943.263	87.988
27	405.571	951.748	90.47
28	558.146	984.998	92.112
