SEM	X	Y	Z	FIB	X	Y	Z	LM	X	Y	Z			X	Y	Z
1	413.667	819.833	1	1	344.833	555.5	1	1	228.974	41.335	26.207		2	140.826	105.6	31.792
2	351.833	777.833	1	2	248.667	536	1	2	140.826	105.6	31.792		1	228.974	41.335	26.207
3	427.833	835.5	1	3	367	565.5	1	3	113.353	117.314	36.331		3	113.353	117.314	36.331
4	589.167	172.167	1	4	611.333	360.833	1	4	900.109	62.105	46.056		17	1049.846	673.848	72.791
5	614.833	174	1	5	650.5	361.667	1	5	246.925	511.661	52.467		18	1036.122	707.498	72.89
6	668.167	162	1	6	732.833	360	1	6	255.536	529.051	54.568		19	1031.322	786.464	75.769
7	198.5	257.833	1	7	6	367.833	1	7	1083.943	95.545	54.624		7	1083.943	95.545	54.624
8	272.667	239.833	1	8	121.417	372.917	1	8	471.369	243.559	59.5		12	1082.767	206.666	63.727
9	394.5	242	1	9	309.167	375	1	9	404.523	258.917	58.303		11	1026.256	372.191	60.766
10	610.833	111.167	1	10	643.5	345.25	1	10	277.372	650.544	61.899		22	1135.582	735.39	81.035
11	645	110.333	1	11	696.5	342.25	1	11	1026.256	372.191	60.766		21	1120.823	781.09	77.878
12	668.833	123.667	1	12	732.25	348	1	12	1082.767	206.666	63.727		20	1090.246	806.797	78.395
13	767.5	173.333	1	13	885.75	366.75	1	13	30.432	404.062	64.368		24	973.823	917.213	81.754
14	794.167	194.667	1	14	927	380.25	1	14	493.298	556.331	67.823		26	932.798	943.263	87.988
								15	538.83	594.991	70.582					
								16	859.346	547.282	73.596					
								17	1049.846	673.848	72.791					
								18	1036.122	707.498	72.89					
								19	1031.322	786.464	75.769					
								20	1090.246	806.797	78.395					
								21	1120.823	781.09	77.878					
								22	1135.582	735.39	81.035					
								23	197.148	885.5	78.604					
								24	973.823	917.213	81.754					
								25	1191.326	383.449	82.025					
								26	932.798	943.263	87.988					
								27	405.571	951.748	90.47					
								28	558.146	984.998	92.112					
