SEM	X	Y	Z		FIB	X	Y	Z		LM	X	Y	Z			X	Y	Z
1	720.333	378	1		1	858.5	415.5	1		1	242.692	114.777	25.701		6	590.73	764.859	58.005
2	759.167	240.333	1		2	915.25	375	1		2	58.026	330.242	37.144		8	775.183	884.267	73.287
3	764.167	97.167	1		3	922.5	329.5	1		3	349.413	556.859	45.639		10	980.921	960.959	83.926
4	636	570.5	1		4	729	479	1		4	171.064	675.489	52.319		3	349.413	556.859	45.639
5	365.833	722.333	1		5	310.25	513.5	1		5	641.423	270.987	58.372		1	242.692	114.777	25.701
6	609.833	108	1		6	682.75	323	1		6	590.73	764.859	58.005		9	1028.812	743.587	74.797
7	366.5	455.833	1		7	307.75	443	1		7	747.261	454.663	73.303		5	641.423	270.987	58.372
										8	775.183	884.267	73.287					
										9	1028.812	743.587	74.797					
										10	980.921	960.959	83.926					
